Time,CO2,NO2,CO ,PM 1.0,PM 2.5,PM 10,
2022-3-4 13:28:5,1159.38,26.88,34.89,7,11,16,
2022-3-4 13:28:15,1159.38,26.06,34.71,8,13,18,
2022-3-4 13:28:25,1159.38,26.61,35.81,8,13,18,
2022-3-4 13:28:35,1159.38,27.02,35.81,8,13,18,
2022-3-4 13:28:45,1175,26.06,36.19,8,12,17,
2022-3-4 13:28:55,1159.38,26.2,37.15,8,12,17,
2022-3-4 13:29:5,1143.75,27.02,37.54,8,12,17,
2022-3-4 13:29:15,1128.13,26.88,37.15,7,11,16,
2022-3-4 13:29:25,1143.75,26.06,37.15,7,11,16,
2022-3-4 13:29:35,1128.13,26.2,36.76,7,11,16,
2022-3-4 13:29:45,1112.5,27.02,37.34,8,12,17,
2022-3-4 13:29:55,1112.5,26.88,36.76,8,12,17,
2022-3-4 13:30:5,1159.38,23.37,38.53,8,12,17,
2022-3-4 13:30:15,1112.5,25.65,39.35,7,11,16,
2022-3-4 13:30:25,1128.13,26.2,41.46,7,11,16,
2022-3-4 13:30:35,1159.38,22.97,41.24,7,11,16,
2022-3-4 13:30:45,1159.38,21.53,41.67,7,11,16,
2022-3-4 13:30:55,1143.75,23.9,41.46,7,11,16,
2022-3-4 13:31:5,1175,24.17,41.24,7,11,16,
2022-3-4 13:31:15,1265.63,16.42,41.24,8,13,19,
2022-3-4 13:31:25,1250,18.31,41.24,8,13,19,
2022-3-4 13:31:35,1234.38,20.36,41.67,8,13,19,
2022-3-4 13:31:45,1234.38,20.23,39.76,8,13,19,
2022-3-4 13:31:55,1250,20.48,39.76,8,13,19,
2022-3-4 13:32:5,1250,21,40.18,8,13,19,
2022-3-4 13:32:15,1281.25,19.33,40.18,9,13,19,
2022-3-4 13:32:25,1265.63,19.84,40.18,9,13,19,
2022-3-4 13:32:35,1281.25,19.84,38.73,9,13,19,
2022-3-4 13:32:45,1281.25,16.92,39.76,8,13,19,
2022-3-4 13:32:55,1265.63,19.84,41.02,8,13,19,
2022-3-4 13:33:5,1281.25,19.33,38.94,8,13,19,
2022-3-4 13:33:15,1296.88,19.58,39.14,8,12,15,
2022-3-4 13:33:25,1281.25,19.84,39.55,8,12,15,
2022-3-4 13:33:35,1328.13,19.84,38.73,8,12,15,
2022-3-4 13:33:45,1312.5,19.33,39.14,8,12,17,
2022-3-4 13:33:55,1312.5,21,38.13,8,12,17,
2022-3-4 13:34:5,1312.5,20.23,38.53,8,12,17,
2022-3-4 13:34:15,1328.13,19.07,38.33,8,12,17,
2022-3-4 13:34:25,1371.88,16.8,37.73,8,12,17,
2022-3-4 13:34:35,1356.25,17.42,38.33,8,12,17,
2022-3-4 13:34:45,1343.75,18.05,38.53,8,12,17,
2022-3-4 13:34:55,1387.5,16.3,39.76,8,12,17,
2022-3-4 13:35:5,1250,22.05,37.73,8,12,17,
2022-3-4 13:35:15,1265.63,22.71,37.54,8,13,19,
2022-3-4 13:35:25,1281.25,21.66,37.54,8,13,19,
2022-3-4 13:35:35,1265.63,21.66,38.94,8,13,19,
2022-3-4 13:35:45,1265.63,21.66,36.95,8,12,17,
2022-3-4 13:35:55,1265.63,20.74,36,8,12,17,
2022-3-4 13:36:5,1296.88,19.33,37.15,8,12,17,
2022-3-4 13:36:15,1296.88,19.97,37.34,8,12,17,
2022-3-4 13:36:25,1265.63,20.74,37.34,8,12,17,
2022-3-4 13:36:35,1312.5,21.39,36.19,8,12,17,
2022-3-4 13:36:45,1296.88,19.33,37.93,8,12,17,
2022-3-4 13:36:55,1250,17.42,39.97,8,12,17,
2022-3-4 13:37:5,1250,17.3,38.73,8,12,17,
2022-3-4 13:37:15,1265.63,16.3,38.13,9,14,20,
2022-3-4 13:37:25,1265.63,18.43,38.73,9,14,20,
2022-3-4 13:37:35,1234.38,20.87,38.53,9,14,20,
